              Solar Radiation Research Laboratory (SRRL) Baseline Measurement System (BMS)              
                                                 01/2025

                           Summary of Quality Assessment Flags (percentages)                            
================ ========== ========== ========== ========== ========== ========== ========== ==========
   Instrument     Untested  Passed-(1) Passed-(2) Passed-(3)   Low-(7)   High-(8)    Other     Missing  
================ ========== ========== ========== ========== ========== ========== ========== ==========
    DirMS57            0       68.5       0.08       29.5          0          0       1.81          0
   DirCHP1-2           0       68.5       0.08       29.8          0       0.04       1.54          0
    DirDR02            0       68.5       0.08       29.5          0       0.04       1.78          0
   GloCMP22-1          0       68.4          0       24.7       0.11       1.17       5.50          0
   GloCMP22-2          0       68.4          0       23.7       0.12       1.06       6.57          0
    GloMS802           0       68.3          0       25.2       0.10       1.03       5.21          0
    GloMS410           0       68.4          0       23.9       0.11       0.99       6.41          0
    GloMS602           0       68.2       0.00       20.6       0.42       0.79       9.87          0
    GloPQS1            0          0       97.1          0          0          0       2.88          0
    GloSR25            0       68.5          0       29.6       0.07       0.65       1.05          0
   Glo40CUV4           0       0.35       98.9          0          0          0       0.69          0
    DifSR20            0       68.0       0.08       29.2          0       0.49       2.09          0
  Glo1AxCMP22          0          0       0.12       99.1          0          0       0.76          0
  Glo1AxLI200R         0       0.29       99.7          0          0          0          0          0
 Glo1AxSPLite2         0          0       0.46       99.2          0          0       0.29          0
 GloNormSPLite2        0          0          0       99.8          0          0       0.15          0
  Glo40SPLite2         0       0.56       99.3          0          0          0       0.06          0
    GloSR30            0       68.5          0       29.9       0.06       0.62       0.78          0
    GloSMP12           0       68.5          0       28.7       0.06       0.61       2.04          0
    GloMS80S           0       68.4          0       23.7       0.12       1.02       6.59          0
================ ========== ========== ========== ========== ========== ========== ========== ==========
